A,B,C,D,E,F,G,H,I,J,K,L,M,N,O,P,Q,R,S,T,U,V,W,X,Y,Z,AA,BB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
923,1 Kings 16:21-23,Reign of King Tibni (North) Ends,"Tibni’s joint reign with Omri, over the Northern Kingdom of Israel, begins at the death of Zimri in the twenty-seventh year of King Asa. Tibni’s reign ends with his own death in the thirty-first year of King Asa. CD#284 is the DFC and EDFC date for events happening between 876 BC and 872 BC. Tibni reigns four years and 331 days. Tibni’s reign ends 31 years and 340 days into King Asa’s reign. Scripture states his reign ends in the thirty-first year of King Asa (South).",DFC,284,3238,1178919,Sunday,July,27,Av,13,876,BC,Sunday,July,29,Av,13,873,BC,L,284,1402777.75,2,1,283.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
924,1 Kings 16:21-23,Omni Reigns Alone Upon Death of Tibni,CD#284 is the DFC and EDFC date for events happening between 876 BC and 872 BC.,DFC,284,3238,1178919,Sunday,July,27,Av,13,876,BC,Sunday,July,29,Av,13,873,BC,L,284,1402777.75,0,0,283.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
925,1 Kings 16:23-24,Omni Buys Samarian Hill for Capital in Northern Israel,CD#284 is the DFC and EDFC date for events happening between 876 BC and 872 BC.,EDFC,284,3240,1179647,Sunday,July,27,Av,13,874,BC,Sunday,July,27,Av,9,871,BC,N,280,1403505.75,2,0,284,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
926,"2 Kings 8:17; 2 Chronicles 21:5, 20",Birth of King Jehoram (South),Jehoram would become King of the Southern Kingdom 32 DFC years later.,DFC,284,3241,1180011,Sunday,July,27,Av,13,873,BC,Sunday,July,26,Av,8,870,BC,N,279,1403869.75,1,0,284.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
927,1 Kings 16:23-28,Reign of King Omri (North) Ends,King Omri (North) ends his reign after eleven accession years plus 150 days. Scripture states his reign lasts twelve years.,MDFC-182,103,3245,1181286,Monday,January,28,Shevat,10,869,BC,Monday,January,21,Tevet,29,866,BC,N,93,1405144.75,3,183,285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
928,1 Kings 16:29,Reign of King Ahab (North) Begins,King Ahab (North) begins his reign 38 accession years and 159 days into the reign of King Asa (South). ,MDFC-182,103,3245,1181286,Monday,January,28,Shevat,10,869,BC,Monday,January,21,Tevet,29,866,BC,N,93,1405144.75,0,0,285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
929,1 Kings 15:23; 2 Chronicles 16:12,King Asa Becomes Severely Ill in His 39th Year,CD#285 is the DFC and EDFC date for events happening between 871 BC and 867 BC.,DFC,285,3246,1181832,Monday,July,28,Av,14,868,BC,Monday,July,20,Av,4,865,BC,L,275,1405690.75,1,182,285.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
930,1 Kings 16:31,Ahab Marries Jezebel Increasing Baal Worship in Israel,CD#285 is the DFC and EDFC date for events happening between 871 BC and 867 BC. This year is an estimated year and an EDFC date.,EDFC,285,3247,1182196,Monday,July,28,Av,14,867,BC,Monday,July,19,Av,1,864,BC,N,272,1406054.75,1,0,285.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
931,"1 Kings 15:9-10, 24; 2 Chronicles 16:13-14",Reign of King Asa (South) Ends,"King Asa’s (South) reign lasts for 41 years and 363 days. Since many of the reigns of the Kings of Israel are dated according to his reign, the accurate dating of this King is very important in calculating an accurate chronology of the Old Testament.",EST,307,3248,1182582,Tuesday,August,20,Elul,6,866,BC,Tuesday,August,9,Av,22,863,BC,N,293,1406440.75,1,22,285.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
932,1 Kings 22:41-42; 2 Chronicles 17:1,Reign of King Jehoshaphat (South) Begins,Reign of King Jehoshaphat (South) begins 204 days into the fourth non-accession year of the reign of King Ahab (North). ,EST,307,3248,1182582,Tuesday,August,20,Elul,6,866,BC,Tuesday,August,9,Av,22,863,BC,N,293,1406440.75,0,0,285.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
933,2 Chronicles 17:7-9,Jehoshaphat Sends Leaders to Teach God's Word,"In the third year of his reign, Jehoshaphat sent teachers of the Law into Judah. CD#286 is the DFC and EDFC date for events happening between 866 BC and 862 BC.",EDFC,286,3251,1183653,Tuesday,July,29,Av,15,863,BC,Tuesday,July,15,Tammuz,26,860,BC,N,268,1407511.75,2,343,286.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
934,1 Kings 17:1; Luke 4:25; James 5:17,Elijah Proclaims a Three and a Half Year Drought,Elijah proclaims a drought that lasts three years and six months. The length of the drought is mentioned in Luke 4:25.,EST,14,3256,1185201,Wednesday,October,30,Heshvan ,10,859,BC,Wednesday,October,10,Tishri,25,856,BC,N,355,1409059.75,4,92,287.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
935,1 Kings 17:2-7,Elijah Hides by Brook Cherith About Two and a Half Years,,EST,197,3258,1186112,Thursday,May,1,Iyar ,14,856,BC,Thursday,April,8,Nisan,19,853,BC,L,172,1409970.75,2,183,287.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
936,1 Kings 17:8-16,Elijah Visits the Widow at Zarephath,CD#288 is the DFC and EDFC date for events happening between 856 BC and 852 BC.,EDFC,288,3258,1186203,Thursday,August,1,Av,17,856,BC,Thursday,July,8,Tammuz,21,853,BC,L,263,1410061.75,0,91,287.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
937,1 Kings 17:17-24,Elijah Revives the Widow's Son,"There is a Jewish tradition that claims that the son of the widow at Zarephath is Jonah the Prophet who is sent to Nineveh. If there is a kinship involved, it is probably a grandson or great-grandson of the widow since the events of Jonah are about 100 years later. This is the only time in the Old Testament that someone is raised from the dead.",EST,15,3259,1186294,Thursday,October,31,Heshvan ,11,856,BC,Thursday,October,7,Tishri,24,853,BC,L,354,1410152.75,0,91,287.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
938,1 Kings 18:1,"Elijah Directed ""Go, present yourself to Ahab""",,EST,175,3259,1186454,Wednesday,April,9,Nissan,22,855,BC,Wednesday,March,16,Adar,24,852,BC,N,147,1410312.75,0,160,287.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
939,1 Kings 18:2-16,Elijah Meets With Obadiah,"In this part of Scripture, Obadiah sets up a meeting with King Ahab and the Prophet Elijah. Many commentaries claim the Obadiah that authored the book with his name is a different Obadiah than the person that meets with Elijah. This research concludes they are likely the same person. The Book of Obadiah describes an attack on Jerusalem by the Edomites, Philistines and Arabians that happened less than 20 years later from this event. At that time of this attack, Elisha is the Prophet who had been appointed by Elijah. ",EST,193,3259,1186472,Sunday,April,27,Iyar ,10,855,BC,Sunday,April,3,Nisan,12,852,BC,N,165,1410330.75,0,18,287.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
940,1 Kings 18:16-19,Elijah Meets With King Ahab,,EST,194,3259,1186473,Monday,April,28,Iyar ,11,855,BC,Monday,April,4,Nisan,13,852,BC,N,166,1410331.75,0,1,287.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
941,1 Kings 18:20-35,Elijah Gathers the Prophets & Israel at Mount Carmel,,EST,196,3259,1186475,Wednesday,April,30,Iyar ,13,855,BC,Wednesday,April,6,Nisan,15,852,BC,N,168,1410333.75,0,2,287.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
942,1 Kings 18:36-40,The Evening Offering on Mount Carmel,,EST,197,3259,1186476,Thursday,May,1,Iyar ,14,855,BC,Thursday,April,7,Nisan,16,852,BC,N,169,1410334.75,0,1,287.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
943,1 Kings 18:41-46,The Drought Ends and Ahab Returns to Jezreel,This event ends the three and a half year drought proclaimed in I Kings 17:1 and James 5:17.,EST,197,3259,1186476,Thursday,May,1,Iyar ,14,855,BC,Thursday,April,7,Nisan,16,852,BC,N,169,1410334.75,0,0,287.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
944,1 Kings 19:1-3,Elijah Escapes From Jezebel in Beersheba,,EST,211,3259,1186490,Thursday,May,15,Iyar ,28,855,BC,Thursday,April,21,Nisan,30,852,BC,N,183,1410348.75,0,14,287.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
945,1 Kings 19:4-7,Elijah Prays Under a Broom Tree,,EST,213,3259,1186492,Saturday,May,17,Sivan,1,855,BC,Saturday,April,23,Iyar,2,852,BC,N,185,1410350.75,0,2,287.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
946,1 Kings 19:8-9,Elijah Arrives at Cave at Base of Mount Horeb,"After arriving at a cave at the base of Mount Horeb (Mt. Sinai), Elijah would spend the night after having fasted for thirty-nine days and nights. According to the notes in the MacArthur Study Bible, the journey, from the place where Elijah had prayed under the broom tree, to the cave at Mount Horeb had taken twice as much time as necessary.",EST,252,3259,1186531,Wednesday,June,25,Tammuz,10,855,BC,Wednesday,June,1,Sivan,12,852,BC,N,224,1410389.75,0,39,287.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
947,1 Kings 19:9-18,God Gives Anointing Instructions Regarding Elijah,"The next morning, Elijah is instructed to “stand on mountain before the Lord”. The Lord passed by the entrance of the cave. Elijah witnessed a wind and earthquake tearing the mountain to pieces. There is also a great fire. Elijah hears God in “a still small voice”. Like Moses on Mount Horeb in Exodus 34:28, Elijah would go without food or water for forty days and nights. He would depend totally on God to sustain him. Also like Moses, Elijah would see a manifestation of God on the mountain. Elijah was instructed to anoint Hazael as King over Syria and Jehu as King over Israel. Elijah is also instructed to anoint Elisha as Elijah’s replacement as a Prophet in Israel.",EST,253,3259,1186532,Thursday,June,26,Tammuz,11,855,BC,Thursday,June,2,Sivan,13,852,BC,N,225,1410390.75,0,1,287.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
948,1 Kings 19:19-21,Elijah Designates Elisha as Successor,Elisha slaughters his oxen and provides a feast for the people after being chosen as Elijah’s successor. The slaughter of the oxen was a farewell feast in which Elisha was saying goodbye to his family to become a Prophet. Elisha then follows Elijah as his servant. This same servant term is used to describe Joshua’s relationship with Moses in Exodus 24:13 and 33:11. CD#288 is the DFC and EDFC date for events happening between 856 BC and 852 BC.,EDFC,288,3259,1186567,Thursday,August,1,Av,17,855,BC,Thursday,July,7,Tammuz,18,852,BC,N,260,1410425.75,0,35,287.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
949,1 Kings 20:1-22,Ben-Hadad and 32 Kings Attack Samaria,CD#288 is the DFC and EDFC date for events happening between 856 BC and 852 BC.,EDFC,288,3260,1186931,Thursday,August,1,Av,17,854,BC,Thursday,July,6,Tammuz,17,851,BC,N,259,1410789.75,1,0,288,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
950,1 Kings 20:23-28,Syrian King Ben-Hadad Gathers Army at Aphek,"The battle of Qarqar happened in 853 BC, in the fifth year of Assyrian King Shalmaneser III, according to the Black Obelisk of Shalmaneser III currently found in the British Museum. This event is described as beginning in the spring of the year. The year of this battle is considered highly accurate in the Assyrian records. This event seems to be described in the events of I Kings 20:23-28. The month and day of the month are estimated. See “Type of Dated Event in Scripture Explained” for an explanation of Extra-Biblical and other types of days identified as dated events in Scripture.",Extra-Biblical,228,3261,1187235,Sunday,June,1,Sivan,16,853,BC,Sunday,May ,6,Iyar,15,850,BC,N,198,1411093.75,0,304,288.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
951,1 Kings 20:29,"100,000 Syrian Soldiers Killed",,EST,235,3261,1187242,Sunday,June,8,Sivan,23,853,BC,Sunday,May ,13,Iyar,22,850,BC,N,205,1411100.75,0,7,288.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
952,1 Kings 20:30-34,Treaty Established With King Ahab and Ben-Hadad,,EST,249,3261,1187256,Sunday,June,22,Tammuz,7,853,BC,Sunday,May ,27,Sivan,7,850,BC,N,219,1411114.75,0,14,288.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
953,1 Kings 16:29; 1 Kings 22:34-40,Reign of King Ahab (North) Ends,King Ahab reigns 21 days into his twenty-second non-accession year. The accurate dating of the end of King Ahab’s reign is important to dating the events of the Northern and Southern Kings.,EST,124,3266,1188951,Monday,February,19,Adar,1,848,BC,Monday,January,16,Tevet,25,845,BC,L,89,1412809.75,4,239,289.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
954,"1 Kings 22:39-40, 51-53",Reign of King Ahaziah (North) Begins,"It is estimated that King Ahaziah (N), son of King Ahab, begins his reign seventeen accession years and 181 days into the reign of King Jehoshaphat (S).",EST,124,3266,1188951,Monday,February,19,Adar,1,848,BC,Monday,January,16,Tevet,25,845,BC,L,89,1412809.75,0,0,289.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
955,1 Kings 22:51-53; 2 Kings 1:17-18,Reign of King Ahaziah (North) Ends,King Ahaziah (North) ends his reign 182 days into the second non-accession year. Scripture states his reign lasts two years.,EST,306,3267,1189497,Monday,August,19,Elul,5,847,BC,Monday,July,15,Tammuz,26,844,BC,N,268,1413355.75,1,182,289.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
956,"2 Kings 1:17, 3:1-2",Reign of King Joram (Jehoram) (North) Begins,"Joram (Jehoram), the son of King Ahab, is appointed as King over Northern Israel. Joram begins his reign 363 days into the eighteenth accession year of King Jehoshaphat (South). In 841 BC, this is the Northern King, not Jehu, who is shown bowing down to Assyrian King Shalmaneser on the Black Obelisk at the British Museum.",EST,306,3267,1189497,Monday,August,19,Elul,5,847,BC,Monday,July,15,Tammuz,26,844,BC,N,268,1413355.75,0,0,289.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
957,1 Kings 22:41-42; 2 Chronicles 20:31,Reign of King Jehoshaphat (South) Ends,King Jehoshaphat reigns 25 accession years and 348 days. This is an important exact DFC date in the Southern Kings. CD#291 is the DFC and EDFC date for events happening between 841 BC and 837 BC.,DFC,291,3273,1191666,Sunday,August,4,Av,20,841,BC,Sunday,June,23,Tammuz,4,838,BC,N,246,1415524.75,5,349,290.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
958,2 Kings 8:16-24; 2 Chronicles 21:1-20,Reign of King Jehoram (Joram) (South) Begins,Reign of King Jehoram (Joram) (S) begins five accession years and 349 days into the reign of King Joram (Jehoram) (N). Jehoram was thirty-two years old when he began his reign in Jerusalem. CD#291 is the DFC and EDFC date for events happening between 841 BC and 837 BC.,DFC,291,3273,1191666,Sunday,August,4,Av,20,841,BC,Sunday,June,23,Tammuz,4,838,BC,N,246,1415524.75,0,0,290.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
959,2 Chronicles 21:8-20; Obadiah 10-14,Edomites Assault Jerusalem,"The Book of Obadiah focuses on the Edomite assault on Jerusalem found in verses 10-14. Edomites were descendants of Esau, the brother of Jacob. Obadiah verbally attacks the Edomites “for violence against your brother Jacob (verse 10)”. The MacArthur Study Bible’s introduction to the Book of Obadiah accurately connects this attack to the battle with the Edomites, Philistines and Arabians, described in 2 Chronicles 21:8-20. In 2 Chronicles 21:12-15, Elisha sends a letter to King Jehoram (South). In this letter, Elisha warns the King that he will suffer a terrible disease of the intestines that will cause his death. Elisha states that King Jehoram will be punished for his idolatry and the “harlotry of the house of Ahab (21:13)”.  This attack on Jerusalem happens in 836 BC. Two years later, Jehu would kill the Kings of the Northern and Southern Kingdoms. This Obadiah is probably the same Obadiah that meets with Elijah and King Ahab 19 years earlier, as recorded in 1 Kings 18:2-18. Many commentaries claim the Obadiah that authored the book with his name is a different Obadiah than the person that meets with Elijah.",EDFC,292,3278,1193487,Monday,August,5,Av,21,836,BC,Monday,June,17,Sivan,30,833,BC,L,242,1417345.75,5,1,291.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
960,"2 Kings 8:25-26, 9:29; 2 Chronicles 22:1-2",Reign of King Ahaziah (South) Begins ,"King Ahaziah (South) begins his reign in the 11th and 12th year of King Joram (Jehoram) (North) according to 2 Kings 8:25-26 and 9:29. The fact that both years are mentioned seems to pinpoint the DFC date in the year 835 BC. King Ahaziah begins his reign eleven accession years and 356 days into the reign of King Joram (Jehoram) (North). CD#292 is the DFC and EDFC date for events happening between 836 BC and 832 BC.  This is one of two concurrent reigns in the Southern Kings of Israel. This is a good example of how a precise date is needed to be consistent with the dated years in the text of Scripture. These ""exact dates"" function like marks on a ""ruler of time"" to line up the years with the many exact stated dates in Scripture when the month and day of the month are given.",DFC,292,3279,1193851,Monday,August,5,Av,21,835,BC,Monday,June,16,Sivan,27,832,BC,N,239,1417709.75,1,0,291.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
961,2 Kings 8:16-24; 2 Chronicles 21:1-20,Reign of King Jehoram (Joram) (South) Ends,"It appears that King Jehoram’s son, Ahaziah had a joint reign for part or all his one year reign. King Jehoram’s (South) reign is calculated to end on the same date as his son, Ahaziah (South) and King Joram (North). Southern King Ahaziah and Northern King Joram are both killed by Jehu making him the King in Northern Israel. The reign of Southern King Jehoram (Joram) lasted seven accession years and 14 days. This can also be stated as eight non-accession years. Scripture says his reign lasted eight years.",EST,305,3280,1194228,Sunday,August,18,Elul,4,834,BC,Sunday,June,28,Tammuz,9,831,BC,N,251,1418086.75,1,13,292,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
962,"2 Kings 8:25-26, 9:21-29; 2 Chronicles 22:1-9",Reign of King Ahaziah (South) Ends,The one year reign of Ahaziah (S) is not counted in the total years from Creation. It is the only concurrent reign in the Southern Kings of Israel. The reign of King Ahaziah (South) ends 1 year and 13 days into his reign when he is mortally wounded by Jehu. Scripture states his reign with his father lasts for one year. This dated reign in the text of Scripture clearly show this to be a concurrent reign.,EST,305,3280,1194228,Sunday,August,18,Elul,4,834,BC,Sunday,June,28,Tammuz,9,831,BC,N,251,1418086.75,0,0,292,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
963,"2 Kings 3:1-2, 9:23-26",Reign of King Joram (Jehoram) (North) Ends,King Joram (Jehoram) (North) ends his reign after 12 accession years and 363 days.,EST,305,3280,1194228,Sunday,August,18,Elul,4,834,BC,Sunday,June,28,Tammuz,9,831,BC,N,251,1418086.75,0,0,292,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
964,2 Kings 9:23-27,Reign of King Jehu (North) Begins,Jehu’s Reign in the Northern Kingdom begins when he kills King Joram (Jehoram) of the North. Jehu also kills King Ahaziah of the South. Jehu begins his reign fourteen days into the eighth non-accession year of King Jehoram (Joram) of Southern Israel.,EST,305,3280,1194228,Sunday,August,18,Elul,4,834,BC,Sunday,June,28,Tammuz,9,831,BC,N,251,1418086.75,0,0,292,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
965,2 Kings 11:1-3; 2 Chronicles 22:10-12,Reign of Queen Athaliah (South) Begins,"Queen Athaliah’s reign is calculated to start her reign one day after her son, King Ahaziah, is mortally wounded by Jehu. Jehu also killed Northern Israel's King, Joram. This double murder made Jehu the King of Northern Israel. When Athaliah learns that her son has been murdered by Jehu, she kills all the royal heirs of the Southern Kingdom, except Joash. She then declares herself the Queen of Israel. Joash, the infant son of King Ahaziah, is hidden along with the infant’s nurse in the house of the Lord for six years. When Queen Athaliah is murdered, almost seven years later, Joash is made the King of Israel at the age of seven.",EST,306,3280,1194229,Monday,August,19,Elul,5,834,BC,Monday,June,29,Tammuz,10,831,BC,N,252,1418087.75,0,1,292,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
